Carry On Sizes

Rimowa: 55x40x23

Hand luggage restrictions
Airline	Cabin size dimensions HxWxD (cm)	Sum restrictions (cm)	Economy weight restrictions (kg)	Business weight restrictions (kg)
AEGEAN AIRLINES	56 x 45 x 25	126	8	13
AER LINGUS	56 x 40 x 23	119	10	13
AEROFLOT	55 x 40 x 25	120	10	15
AEROLINEAS ARGENTINAS	55 x 35 x 25	115	8	10
AEROMEXICO	55 x 40 x 25	120	10	15
AIR CANADA	55 x 40 x 23	118	N/A	N/A
AIR CARAIBES	55 x 35 x 25	115	12	N/A
AIR CHINA	55 x 40 x 20	115	5	8
AIR EUROPA	55 x 35 x 25	115	10	14
AIR FRANCE	55 x 35 x 25	115	12	18
AIR INDIA	55 x 40 x 20	115	7	10
AIR NEW ZEALAND	N/A	118	7	14
AIR SERBIA	55 x 40 x 23	118	8	8
AIR TRANSAT	55 x 40 x 23	118	N/A	N/A
ALASKA	56 x 36 x 23	115	N/A	N/A
ALL NIPPONS AIRWAYS (ANA)	55 x 40 x 25	115	10	N/A
ALLEGIANT AIRLINES	56 x 36 x 23	115	N/A	N/A
AMERICAN AIRLINES	56 x 36 x 23	115	N/A	N/A
ARKIA	56 x 45 x 25	126	8	N/A
ASIANA AIRLINES	55 x 40 x 20	115	10	10
AUSTRIAN	55 x 40 x 23	118	8	8
AVIANCA	55 x 35 x 25	115	10	10
AZUL AIRLINES	55 x 35 x 25	115	10	10
BAMBOO AIRWAYS	56 x 36 x 23	115	7	7
BRITISH AIRWAYS	56 x 45 x 25	126	23	N/A
BRUSSELS AIRLINES	55 x 40 x 23	118	8	8
CATHAY PACIFIC	56 x 36 x 23	115	7	10
CEBU PACIFIC	56 x 36 x 23	115	7	N/A
CHINA AIRLINES	56 x 36 x 23	115	7	7
CHINA EASTERN	55 x 40 x 20	115	8	10
CHINA SOUTHERN	55 x 40 x 20	115	8	8
CONDOR	55 x 40 x 20	115	8	10
COPA AIRLINES	56 x 36 x 26	118	10	10
CORSAIR	55 x 40 x 20	115	12	18
CROATIA AIRLINES	55 x 40 x 23	115	8	8
CZECH AIRLINES	55 x 45 x 25	125	8	8
DELTA AIRLINES	56 x 35 x 23	114	N/A	N/A
EASYJET	56 x 45 x 25	126	15	15
EDELWEISS	55 x 40 x 23	118	8	8
EGYPTAIR	55 x 40 x 23	118	8	8
EL AL	56 x 45 x 25	115	8	12-20
EMIRATES	55 x 38 x 22	115	7	10
ETHIOPIAN	55 x 40 x 23	118	7	7
ETIHAD	56 x 36 x 23	115	7	12
EUROWINGS	55 x 40 x 23	118	8	8
EVA AIR	56 x 36 x 23	115	7	7
FIJI AIRWAYS	55 x 40 x 23	118	7	7
FINNAIR	55 x 40 x 23	118	8	12
FLY DUBAI	55 x 38 x 20	113	7	7
GARUDA INDONESIA	56 x 36 x 23	115	7	7
GOL	55 x 35 x 25	115	10	N/A
HAINAN AIRLINES	55 x 40 x 20	115	7	7-10
HOP!	55 x 35 x 25	115	7	N/A
IBERIA	56 x 40 x 25	121	10	14
ICELAND AIR	55 x 40 x 20	115	10	10
ISAIR	50 x 40 x 20	110	8	N/A
ITA AIRWAYS	55 x 35 x 25	115	8	N/A
JAPAN AIRLINES	55 x 40 x 25	120	10	10
JET2.COM	56 x 45 x 25	126	10	N/A
JETBLUE	56 x 36 x 23	115	N/A	N/A
KLM	55 x 35 x 25	115	12	12
KOREAN AIR	55 x 40 x 20	115	10	18
LATAM	55 x 35 x 25	115	10	16
LOT	55 x 40 x 23	118	8	8-9
LUFTHANSA	55 x 40 x 23	118	8	8
MALAYSIA AIRLINES	56 x 36 x 23	115	7	7
MIDDLE EAST AIRLINE (MEA)	56 x 40 x 25	121	10	10
NORWEGIAN	55 x 40 x 23	118	10	15
OLYMPIC AIR	55 x 40 x 23	118	10	15
OMAN AIR	N/A	115	7	7
PHILIPPINE AIRWAYS	56 x 36 x 23	115	7	N/A
PORTER	55 x 40 x 23	118	N/A	N/A
QANTAS	56 x 36 x 23	115	10	10
QATAR AIRWAYS	50 x 37 x 25	112	7	15
ROYAL AIR MAROC	55 x 40 x 25	120	10	12
RYANAIR	55 x 40 x 20	115	10	N/A
SAUDI AIRLINES	56 x 45 x 25	126	7	12
SCANDINAVIAN AIRLINES (SAS)	55 x 40 x 23	118	8	8
SHENZHEN AIRLINES	55 x 40 x 20	115	5	5-10
SINGAPORE AIRLINES	N/A	115	7	7
SOUTH AFRICAN AIRWAYS	56 x 36 x 23	115	8	8
SOUTHWEST AIRLINE	53 x 35 x 22	110	N/A	N/A
SWISS	55 x 40 x 23	118	8	8
TAME	55 x 35 x 25	115	8	N/A
TAP AIR PORTUGAL	55 x 40 x 25	120	10	10
THAI AIRWAYS	56 x 45 x 25	126	7	N/A
TRANSAVIA	55 x 35 x 25	115	10	10
TUI	55 x 40 x 20	115	10	10
TURKISH AIRLINES	55 x 40 x 23	118	8	8
UNITED AIRLINES	55 x 35 x 23	114	N/A	N/A
VIETNAM AIRLINES	56 x 36 x 23	115	12	18
VIRGIN ATLANTIC	56 x 36 x 23	115	10	12-16
VUELING	55 x 40 x 20	115	10	N/A
WIZZ AIR	55 x 40 x 23	118	10	N/A

